"region","mrccode","mrcname","villagename","villagecode","vcode","allparticipants"
"14","01","Kasambya HCIII","KASAMBYA A ","189070104","01",1
"14","01","Kasambya HCIII","KASAMBYA CENTRAL ","189070106","02",1
"14","01","Kasambya HCIII","KIMWANYI A ","189070107","03",1
"9","09","Kigorobya HCIV","KIRYANDONGO ","133110202","01",1
"9","09","Kigorobya HCIV","KIGOROBYA I ","133110301","02",1
"9","09","Kigorobya HCIV","KIGOROBYA II ","133110302","03",1
"9","09","Kigorobya HCIV","KIKWANANA ","133110402","04",1
"9","09","Kigorobya HCIV","KIKONKONA ","133110401","05",1
"9","12","Kyatiri HCIII","KYATIRI CENTRE ","180080106","01",1
"9","12","Kyatiri HCIII","KYAMBOGO ","180080203","05",1
"9","12","Kyatiri HCIII","KYABAKAMI ","180080105","06",1
"9","14","Diima HCIII","PII-AKEYO ","159080109","01",1
"9","14","Diima HCIII","DIIMA A ","159080103","02",1
"9","14","Diima HCIII","DIIMA B ","159080104","03",1
"9","14","Diima HCIII","ALENGO ","159080101","04",1
"8","15","Opia HCIII","Opia Centre ","110280805","01",1
"8","15","Opia HCIII","Ewavuni ","110280802","02",1
"8","15","Opia HCIII","Kongodo ","110280803","03",1
"8","15","Opia HCIII","Yivu ","110280308","04",1
"8","15","Opia HCIII","Doli ","110280302","05",1
"8","18","Ayipe HCIII","KITIMIRI ","162030107","01",1
"8","18","Ayipe HCIII","AGMBARU ","162030101","02",1
"8","18","Ayipe HCIII","BALALA ","162030102","03",1
"8","19","Metu HCIII","METU T/C ","187070410","01",1
"8","19","Metu HCIII","PAMENYUA ","187070413","02",1
"8","19","Metu HCIII","INDRI ","187070407","03",1
"8","19","Metu HCIII","GWERE MONDI ","187070406","04",1
"8","19","Metu HCIII","GWERE LUZIRA ","187070405","05",1
"8","19","Metu HCIII","CECELOGO ","187070401","06",1
"7","21","Koch Goma HCIV","Kal 'B' ","202040403","01",1
"7","21","Koch Goma HCIV","Kal 'A1' ","202040401","02",1
"7","21","Koch Goma HCIV","Kal 'A2' ","202040402","03",1
"7","23","Atiak HCIV","Kal East ","108030101","01",1
"7","25","Awach HCIV","Payuta ","132010203","01",1
"7","27","Lalogi HCIV","OPWAC ","203040104","02",1
"7","29","Padibe HCIII","ATWOL A ","171070101","01",1
"7","29","Padibe HCIII","ATWOL B ","171070102","02",1
"7","29","Padibe HCIII","LOTIBOL ","171070104","03",1
"7","29","Padibe HCIII","MISSION ","171070105","04",1
"7","29","Padibe HCIII","ANYIBI ","171070201","05",1
"7","31","Namokora HCIV","MISSION ","161090101","01",1
"7","31","Namokora HCIV","ORYANG CENTRAL ","161090102","02",1
"7","31","Namokora HCIV","PAGER ","161090103","03",1
"7","31","Namokora HCIV","PUNU AKURU ","161090104","04",1
"7","31","Namokora HCIV","TWONU OKON ","161090105","05",1
"7","32","Kitgum Matidi HCIII","BOBI CENTRAL ","161030103","01",1
"7","32","Kitgum Matidi HCIII","PAGWA AWERE ","161030106","02",1
"7","33","Patongo HCIII","COUNTY HQTRS ","103160302","01",1
"7","33","Patongo HCIII","OPOROT NORTH ","103160306","02",1
"7","33","Patongo HCIII","BARDEGE ","103160301","03",1
"7","33","Patongo HCIII","OPOROT CENTRAL ","103160304","04",1
"6","36","Otwal HCIII","TE - YAO ","205130522","01",1
"6","36","Otwal HCIII","ALEGE ","205130504","02",1
"6","36","Otwal HCIII","OGUK ","205130516","03",1
"6","36","Otwal HCIII","OTWAL TRADING CENTRE 'A' ","205130519","04",1
"6","37","Aboke HCIV","ARAO ","163020417","01",1
"6","37","Aboke HCIV","ACUNGU LYEC 'A' ","163020106","02",1
"6","37","Aboke HCIV","ATEK ","163020403","03",1
"6","38","Bala HCIII","TECAMBIA MAIN ","163070716","01",1
"6","38","Bala HCIII","OLIL ","163070414","02",1
"6","38","Bala HCIII","OLAI ","163070411","03",1
"6","40","Akokoro HCIII","TETUGO ","109060708","01",1
"6","40","Akokoro HCIII","KAYEI ","109060707","02",1
"6","40","Akokoro HCIII","WANGCENYE ","109060709","03",1
"6","40","Akokoro HCIII","AKOKORO T/C ","109060104","04",1
"6","40","Akokoro HCIII","ABYEIBUTI ","109060102","05",1
"6","41","Aduku HCIV","Akaidebe ","223030101","01",1
"6","41","Aduku HCIV","Olami 'B' ","223030105","02",1
"6","41","Aduku HCIV","Olami 'A' ","223030104","03",1
"6","42","Apwori HCIII","APWORI ","223040103","01",1
"6","42","Apwori HCIII","OYIKOWANGE ","223040109","02",1
"6","42","Apwori HCIII","WI GWENG A ","223040110","03",1
"6","42","Apwori HCIII","WI GWENG B ","223040111","04",1
"6","42","Apwori HCIII","AYAT ","223040105","05",1
"6","42","Apwori HCIII","OMULE ","223040108","06",1
"5","43","Lokolia HCIV","LOKOLIA CENTRE ","138010203","01",1
"5","43","Lokolia HCIV","KALODEKE ","138010201","02",1
"5","43","Lokolia HCIV","NAPETABUL ","138010206","03",1
"4","47","Morungatuny HCIII","AKUYA ","107100403","01",1
"4","47","Morungatuny HCIII","OJINGAI ","107100304","02",1
"4","47","Morungatuny HCIII","OMUNYIR ","107100307","03",1
"4","47","Morungatuny HCIII","ATEUSO ","107100302","04",1
"1","56","Nawaikoke HCIII","NAWAIKOKE ","145140305","01",1
"1","56","Nawaikoke HCIII","KAJUBU ","145140302","02",1
"1","56","Nawaikoke HCIII","LUKUMI ","145140303","03",1
"1","56","Nawaikoke HCIII","BUKUNYA ","145140301","04",1
"1","59","Budondo HCIV","NAMIZI CENTRAL ","137010407","02",1
"1","61","Buwaiswa HCIV","BUWAISWA ","181060103","01",1
"1","61","Buwaiswa HCIV","NAMADHI ","181060403","02",1
"1","61","Buwaiswa HCIV","NAKATE ","181060402","03",1
"1","62","Kigandalo HCIV","KIGANDALO A ","181100301","01",1
"1","62","Kigandalo HCIV","KIGANDALO B ","181100302","02",1
"1","62","Kigandalo HCIV","BUGONDO ","181100101","03",1
"2","64","Busitema HCIII","SYANYONJA ","124040405","01",1
"2","64","Busitema HCIII","NAMUKOMBE ","124040404","02",1
"2","64","Busitema HCIII","NAMBEWO ","124040403","03",1
"11","65","Kihihi HCIV","MARKET CELL ","150090204","01",1
"11","65","Kihihi HCIV","CENTRAL KIHIIHI ","150090202","02",1
"11","65","Kihihi HCIV","RUTWE ","150090207","03",1
"11","65","Kihihi HCIV","NDEEBA ","150090205","04",1
"6","66","Amolatar HCIV","AMOLATAR HEADQUARTERS 'B' ","105040501","02",1
"6","66","Amolatar HCIV","ORIMAI ","105040504","05",1
"6","69","Orum HCIV","BARODUGU ","204080205","01",1
"6","69","Orum HCIV","ADWONG IBUTO ","204080202","02",1
"6","69","Orum HCIV","ADWIRPIDA ","204080201","03",1
"6","69","Orum HCIV","TEBOKE ","204080306","04",1
"6","69","Orum HCIV","AKAIDEBE ","204080203","05",1
"2","70","Nagongera HCIV","TAWO JWOK ","219150202","01",1
"2","70","Nagongera HCIV","MAHANGA ","219150201","02",1
"2","70","Nagongera HCIV","AWANYA ","219150101","03",1
"5","71","Nadunget HC III","Nakapelimen Cell ","186070101","01",1
"5","71","Nadunget HC III","Lolain Cell ","186070102","02",1
"5","71","Nadunget HC III","Lokilala ","186070103","03",1
"5","71","Nadunget HC III","Lokorirot Cell ","186070104","04",1
"5","71","Nadunget HC III","Nachuka Cell ","186070303","05",1
"11","72","Kamwezi HC IV","KAMUHA ","212020203","06",1
"11","72","Kamwezi HC IV","KABIRIZI ","212020301","10",1
"11","72","Kamwezi HC IV","KAGARAMA ","212020303","11",1
"11","72","Kamwezi HC IV","MUTOJO ","212020310","14",1
"11","73","Muko HC IV","KAMUSERWA ","210080403","01",1
"11","73","Muko HC IV","KANYAMATEMBE ","210080404","02",1
"11","73","Muko HC IV","KATASYA ","210080405","03",1
"11","73","Muko HC IV","RUTOGA ","210080407","04",1
"11","73","Muko HC IV","BICERERE ","210060701","05",1
"11","73","Muko HC IV","RUSHAMBYA ","210060704","06",1
"11","73","Muko HC IV","RUSHUNGA ","210060705","07",1
"11","73","Muko HC IV","RWAMABARE ","210060706","08",1
"11","74","Chahafi HC IV","KABAMI ","160100106","01",1
"11","74","Chahafi HC IV","GISHA  ","160100105","02",1
"11","74","Chahafi HC IV","NYABUNE  ","160100114","03",1
"11","75","Maziba HC IV","OMUKASHENYI ","139110109","01",1
"11","75","Maziba HC IV","BIRAMBO ","139110101","02",1
"11","75","Maziba HC IV","EIZINIRO ","139110102","03",1
"11","75","Maziba HC IV","KAMURONKO ","139110103","04",1
"11","75","Maziba HC IV","KANONI ","139110104","05",1
"11","75","Maziba HC IV","KASIRIMA ","139110404","06",1
"11","75","Maziba HC IV","NYAKARAMBI ","139110107","07",1
"11","75","Maziba HC IV","RWEMIHANGA ","139110111","08",1
"10","77","Karambi HC IV","KARAMBI ","152100401","01",1
"10","77","Karambi HC IV","KYASENDA I ","152100402","02",1
"10","77","Karambi HC IV","KYASENDA II ","152100403","03",1
"10","77","Karambi HC IV","MIRAMI I ","152100404","04",1
"10","77","Karambi HC IV","MIRAMI II ","152100405","05",1
"11","78","Rubondo HC II","KISUURA B","136230119","02",1
"9","79","Rwenyawawa HC III","RWENYAWAWA","233030228","01",1
"9","79","Rwenyawawa HC III","NYAMPINDU","233030226","02",1
"9","80","Panyadoli HC IV","CLUSTER K","159010314","01",1
"9","80","Panyadoli HC IV","CLUSTER N ","159010317","02",1
"8","81","Palorinya HC III","UKUNI WEST","226050302","01",1
"8","81","Palorinya HC III","BUDARI","226050305","02",1
"8","81","Palorinya HC III","PASU","226050306","03",1
"11","78","Rubondo HC II","KISUURA C","136230120","03",1
